County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
Antrim and Newtownabbey	Northern Ireland	3	1			4
Ards and North Down	Northern Ireland	3	2			5
Armagh City Banbridge and Craigavon	Northern Ireland	2	1			3
Belfast	Northern Ireland	8	3	1	1	13
Causeway Coast and Glens	Northern Ireland	2	2			4
Derry City and Strabane	Northern Ireland	2			1	3
Fermanagh and Omagh	Northern Ireland	2			1	3
Lisburn and Castlereagh	Northern Ireland	3	2			5
Mid Ulster	Northern Ireland	2	1			3
Mid and East Antrim	Northern Ireland	3	1			4
Newry Mourne and Down	Northern Ireland	2				2
Total	Northern Ireland	32	13	1	3	49
